iteration,best_blackout_risk,best_brownout_risk,reward
99,0,0,-22.39217806380434
99,0,0,-217.18735412242603
99,0,0,-225.75800289334458
99,0,0,-214.92137376330035
99,0,0,-221.37114994508076
99,0,0,-213.4197668554352
99,0,0,-211.42981358201814
99,0,0,-224.51362083999751
99,0,0,-221.897909051767
99,0,0,-28.145357867902913
99,0,0,-226.04758982606793
99,0,0,-211.1363930068961
99,0,0,-211.0479409349371
99,0,0,-218.865402943666
99,0,0,-218.40203868058813
99,0,0,-213.66867960485482
99,0,0,-40.01634360758671
99,0,0,-215.94850093122446
99,0,0,-213.27451007202214
99,0,0,-209.56662882044847
99,0,0,-214.59658120487498
99,0,0,-212.05319526153593
99,0,0,-212.09233555462134
99,0,0,-215.07892083599683
99,0,0,-219.80691794137803
99,0,0,-280.1799724668459
99,0,0,-214.8735233072234
99,0,0,-210.69789161646824
99,0,0,-215.54682995193443
99,0,0,-224.34776169547914
99,0,0,-224.922000511923
99,0,0,-218.84987384195645
99,0,0,-49.269477492693994
99,0,0,-226.3781028392604
99,0,0,-27.569690101211183
99,0,0,-221.45228352587145
99,0,0,-210.6695143154407
99,0,0,-29.69867339090753
99,0,0,-229.66663811838384
99,0,0,-270.55905016371185
99,0,0,-375.27415014518255
99,0,0,-375.27415014518255
99,0,0,-375.01129854684757
99,0,0,-375.01129854684757
99,0,0,-374.7834284457305
99,0,0,-374.7834284457305
99,0,0,-218.26782595546644
99,0,0,-26.86024345291445
99,0,0,-223.0131222485982
99,0,0,-224.89560675925523
99,0,0,-30.896908615022802
99,0,0,-220.07985100507256
99,0,0,-220.5290699378172
99,0,0,-216.10850294763327
99,0,0,-287.20370412728397
99,0,0,-44.143733732646865
99,0,0,-216.74518476490525
99,0,0,-223.19628939791957
99,0,0,-211.24562519151772
99,0,0,-264.61051001925887
99,0,0,-262.34860322656556
99,0,0,-219.1419654710178
99,0,0,-211.8147968536753
99,0,0,-213.56029888455322
99,0,0,-222.84421700393557
99,0,0,-217.20087838226152
99,0,0,-23.932539808607284
99,0,0,-213.87481375769275
99,0,0,-224.6455885451082
99,0,0,-213.3610719994636
99,0,0,-220.68245624264654
99,0,0,-218.80246395719516
99,0,0,-222.43367051046235
99,0,0,-215.83690809924298
99,0,0,-224.5261680212963
99,0,0,1465.8449881284678
99,0,0,-23.625619819474025
99,0,0,-27.24028288903039
99,0,0,-218.67804459155087
99,0,0,-215.01359417080826
99,0,0,-35.72892597820202
99,0,0,-218.00076568567306
99,0,0,-213.69624312102277
99,0,0,1476.0639233319046
99,0,0,1474.2065451047322
99,0,0,-55.61262294999444
99,0,0,-263.5755633919922
99,0,0,-263.5755633919922
99,0,0,-264.5108878937655
99,0,0,-264.5108878937655
99,0,0,-265.42880037392985
99,0,0,-265.42880037392985
99,0,0,-227.95826958049534
99,0,0,-223.81842000221576
99,0,0,-214.09843363439927
99,0,0,-227.32136971435364
99,0,0,-214.3779407239599
99,0,0,-217.87534703847436
99,0,0,1468.94476139647
99,0,0,-225.06270566227928
99,0,0,-216.86708438408073
99,0,0,-213.27110125624318
99,0,0,-36.147388781752
99,0,0,-218.12289034438928
99,0,0,-219.84277901601146
99,0,0,-219.15311945352258
99,0,0,-287.193842466467
99,0,0,965.3188033035555
99,0,0,-220.94635172772024
99,0,0,-220.49152645774467
99,0,0,-24.995625442693445
99,0,0,-30.957608381239584
99,0,0,-56.7094528746844
99,0,0,-28.83265265594686
99,0,0,-222.85401508111298
99,0,0,-219.98628232103903
99,0,0,-214.46157741830157
99,0,0,-213.0200332196962
99,0,0,-220.15503974354075
99,0,0,-213.40388626630028
99,0,0,1464.8885883663932
99,0,0,-220.32104933878597
99,0,0,-306.50935353374757
99,0,0,-26.00181893877595
99,0,0,-218.33131826906805
99,0,0,-220.09252715564682
99,0,0,-214.9999504429331
99,0,0,-211.0690424868252
99,0.25,0,-226.56473404918054
99,0,0,-222.72228552753887
99,0,0,-27.65013147826629
99,0,0,-215.5547731665414
99,0,0,-216.49398827172482
99,0,0,1465.2967499948063
99,0,0,-213.76098790980996
99,0,0,-211.79875303511338
99,0,0,-212.91693640063806
99,0,0,-302.5421264622884
99,0,0,-349.0856031712422
99,0,0,-27.827961859691168
99,0,0,-29.4189489960905
99,0,0,-212.58723194846806
99,0,0,-219.65292766457375
99,0,0,-215.19165373905128
99,0,0,-28.97291909964083
99,0,0,-218.66679853868496
99,0,0,-229.0615700884433
99,0,0,-212.9854765064042
99,0,0,-415.647426976838
99,0,0,-415.62929046843004
99,0,0,-415.61177433891316
99,0,0,-415.59481101218546
99,0,0,-415.57836454393674
99,0,0,-24.829947540292565
99,0,0,-217.60006699192962
99,0,0,-223.34413610942698
